school_id,school_name,use_case
sch_00222,Apex Academy School,b2b_course_sellers
sch_00223,Nexus Institute School,corporate_training
sch_00224,Lumina Solutions School,b2b_course_sellers
sch_00225,Global Ventures School,corporate_training
sch_00226,Digital Pathways School,b2c_course_sellers
sch_00227,Smart Labs School,b2c_course_sellers
sch_00228,Future Learning School,b2b_course_sellers
sch_00229,Modern Education School,b2b_course_sellers
sch_00230,Advanced Skills School,b2b_course_sellers
sch_00231,Premier Training School,government_ngos
sch_00232,Elite Talent School,government_ngos
sch_00233,Dynamic Growth School,b2c_course_sellers
sch_00234,Agile Academy School,b2b_course_sellers
sch_00235,Innovative Institute School,corporate_training
sch_00236,Bright Solutions School,customer_training
sch_00237,Apex Ventures School,government_ngos
sch_00238,Nexus Pathways School,customer_training
sch_00239,Lumina Labs School,government_ngos
sch_00240,Global Learning School,b2b_course_sellers
sch_00241,Digital Education School,corporate_training
sch_00242,Smart Skills School,customer_training
sch_00243,Future Training School,government_ngos
sch_00244,Modern Talent School,government_ngos
sch_00245,Advanced Growth School,corporate_training
sch_00246,Premier Academy School,government_ngos
sch_00247,Elite Institute School,government_ngos
sch_00248,Dynamic Solutions School,customer_training
sch_00249,Agile Ventures School,b2c_course_sellers
sch_00250,Innovative Pathways School,customer_training
sch_00251,Bright Labs School,customer_training
sch_00252,Apex Learning School,b2b_course_sellers
sch_00253,Nexus Education School,b2c_course_sellers
sch_00254,Lumina Skills School,b2c_course_sellers
sch_00255,Global Training School,b2b_course_sellers
sch_00256,Digital Talent School,government_ngos
sch_00257,Smart Growth School,b2b_course_sellers
sch_00258,Future Academy School,government_ngos
sch_00259,Modern Institute School,corporate_training
sch_00260,Advanced Solutions School,b2b_course_sellers
sch_00261,Premier Ventures School,b2b_course_sellers
sch_00262,Elite Pathways School,b2b_course_sellers
sch_00263,Dynamic Labs School,corporate_training
sch_00264,Agile Learning School,b2b_course_sellers
sch_00265,Innovative Education School,b2c_course_sellers
sch_00266,Bright Skills School,government_ngos
sch_00267,Apex Training School,corporate_training
sch_00268,Nexus Talent School,customer_training
sch_00269,Lumina Growth School,corporate_training
sch_00270,Global Academy School,corporate_training
sch_00271,Digital Institute School,corporate_training
sch_00272,Smart Solutions School,corporate_training
sch_00273,Future Ventures School,b2c_course_sellers
sch_00274,Modern Pathways School,b2c_course_sellers
sch_00275,Advanced Labs School,corporate_training
sch_00276,Premier Learning School,b2b_course_sellers
sch_00277,Elite Education School,corporate_training
sch_00278,Dynamic Skills School,customer_training
sch_00279,Agile Training School,b2c_course_sellers
sch_00280,Innovative Talent School,government_ngos
sch_00281,Bright Growth School,corporate_training
sch_00282,Apex Academy School,government_ngos
sch_00283,Nexus Institute School,corporate_training
sch_00284,Lumina Solutions School,government_ngos
sch_00285,Global Ventures School,government_ngos
sch_00286,Digital Pathways School,b2b_course_sellers
sch_00287,Smart Labs School,b2c_course_sellers
sch_00288,Future Learning School,government_ngos
sch_00289,Modern Education School,government_ngos
sch_00290,Advanced Skills School,government_ngos
sch_00291,Premier Training School,customer_training
sch_00292,Elite Talent School,corporate_training
